"","Month","LongDes","TotItemQty","Brand"
"88",1,"BB LIME FRUIT BAR SNGLE",16,"OTHER"
"89",1,"BB MINI SANDWICH 24EA",195,"OTHER"
"90",1,"BB MINI SWIRL CRML CONES 18OZ",51,"OTHER"
"91",1,"BB MINT CCHIP BARS",106,"OTHER"
"92",1,"BB MIXED BERRIES FRT BARS",173,"OTHER"
"93",1,"BB NEAO SANDWICH SINGLE 5,75OZ",88,"OTHER"
"94",1,"BB NSA MOOO BARS 12EA",100,"OTHER"
"95",1,"BB RAINBOW FREEZE SINGLE 1EA",171,"OTHER"
"96",1,"BB RAINBOW POP UPS SINGLE 1EA",98,"OTHER"
"97",1,"BB SMPLY VAN SNCWCH 8PK",50,"OTHER"
"98",1,"BB STRW FRUIT BARS",501,"OTHER"
"99",1,"BB SUNDAE CUPS",99,"OTHER"
"100",1,"BB TRPL DLGHT SNDWCH 8PK",47,"OTHER"
"101",1,"BBNY CARAMEL KRUNCH BARS 12EA",35,"OTHER"
"102",1,"BBNY CHAMP CONE VAN 6EA",58,"OTHER"
"103",1,"BBNY FUDGE BARS 12EA",11,"OTHER"
"104",1,"BBNY SWT FRDM IC LITES 12EA",51,"OTHER"
"105",1,"BBNY SWT FRDM KRNCH LT 12EA",42,"OTHER"
"106",1,"BBUNNY SWT FRDM FDG LT 12PK 12EA",52,"OTHER"
"107",1,"BJ SMORES 16OZ",56,"OTHER"
"108",1,"BLU BUNNY MINI SWRL BDAY PARTY IC CONE",31,"OTHER"
"109",1,"BLUE BUNNY BIG FUDGE BARS",85,"OTHER"
"110",1,"BLUE BUNNY MINI SWIRLS VANILLA CONES 18OZ",86,"OTHER"
"111",1,"BLUE BUNNY ORANGE DREAM BAR 2.25OZ",39,"OTHER"
"112",1,"BLUE BUNNY ORIG BOMB POP 12PK/1.75 FL OZ",108,"OTHER"
"113",1,"BOMB POP HWN PNCH 12PK",31,"OTHER"
"114",1,"BREYER NAT LT CRMY VANILLA 48OZ",7,"OTHER"
