,X,month,LongDes,sum.ItemQuant.
113,952,3,BB BANANA FUDGE BAR,176
114,953,3,BB BDAY PARTY SNDWCH 8PK,18
115,954,3,BB BULLETS 24EA,116
116,955,3,BB CHAMP VAR PK CONES,14
117,956,3,BB CHOC & VAN CUPS 12EA,252
118,957,3,"BB CHOC CHIP COOKIE SINGLE 5,25OZ",128
119,958,3,BB CHOC CHRY BARS 12PK,21
120,959,3,BB CHOC FUDGE BAR,61
121,960,3,BB CKS/CREAM SANDWICH SINGLE 1EA,133
122,961,3,BB CNTRY CONE CKS/CRM SGL 1EA,119
123,962,3,BB CNTRY CONE VANILLA SINGLE 1EA,107
124,963,3,BB CREME POPS 24EA,33
125,964,3,BB DIPPED COCONUT FRT BARS,99
126,965,3,BB FUDGE BOMBSTIK SINGLE 1EA,231
127,966,3,BB GREAT DIVIDE SINGLES 1EA,5
128,967,3,BB HOMEMADE VANILLA CUP SGL 1EA,140
129,968,3,BB ICE CREAM SANDWICH 12EA,154
130,969,3,BB ICE CREAM SANDWICH SINGLE 1EA,116
131,970,3,BB KRUNCH BAR SINGLE 1EA,147
132,971,3,BB LIME FRUIT BAR SNGLE,4
133,972,3,BB MINI SANDWICH 24EA,128
134,973,3,BB MINI SWIRL CRML CONES 18OZ,29
135,974,3,BB MINT CCHIP BARS,53
136,975,3,BB MIXED BERRIES FRT BARS,91
137,976,3,"BB NEAO SANDWICH SINGLE 5,75OZ",69
138,977,3,BB NSA MOOO BARS 12EA,52
139,978,3,BB RAINBOW FREEZE SINGLE 1EA,111
140,979,3,BB RAINBOW POP UPS SINGLE 1EA,78
141,980,3,BB SMPLY VAN SNCWCH 8PK,49
142,981,3,BB STRW FRUIT BARS,313
143,982,3,BB SUNDAE CUPS,94
144,983,3,BB TRPL DLGHT SNDWCH 8PK,43
145,994,3,BLUE BELL AST SHERBET 32OZ,437
146,995,3,BLUE BELL BANANA POPS,134
147,996,3,BLUE BELL BRTHDAY CK CUPS 12EA,72
148,997,3,BLUE BELL COCONUT FRUIT BARS,86
149,998,3,BLUE BELL COTTON CANDY BARS,43
150,999,3,BLUE BELL DBL VNLA IC SNDW 1EA,56
151,1000,3,BLUE BELL DREAM BAR,108
152,1001,3,BLUE BELL HMADE VAN CUPS 12EA,316
153,1002,3,BLUE BELL KRUNCH BARS 12EA,202
154,1003,3,BLUE BELL LIME FRUIT BARS,115
155,1004,3,BLUE BELL MINI CONE 12EA,97
156,1005,3,BLUE BELL MINI PARTY CONES,45
157,1006,3,BLUE BELL MOOO BAR,1
158,1007,3,BLUE BELL PEACH FRUIT BARS,86
159,1008,3,BLUE BELL SOUR POPS GREEN APPLE,14
160,1009,3,BLUE BELL STRAWBERRY DIPPED FRUIT BARS,129
161,1010,3,BLUE BELL STRWBRY SHRTCK BR 1EA,67
162,1015,3,BLUEBELL MINI RAINBOWS 24EA,64
163,1016,3,BLUEBELL MOOO BARS 12EA,227
164,1017,3,BLUEBELL NS ADDED PT 16OZ,131
165,1018,3,BLUEBELL SF BULLETS 24EA,94
166,1019,3,BLUEBELL SHERBET RAINBOW 16OZ,138
167,1371,4,BB BANANA FUDGE BAR,170
168,1372,4,BB BDAY PARTY SNDWCH 8PK,18
169,1373,4,BB BULLETS 24EA,128
170,1374,4,BB CHAMP VAR PK CONES,18
171,1375,4,BB CHOC & VAN CUPS 12EA,258
172,1376,4,"BB CHOC CHIP COOKIE SINGLE 5,25OZ",93
173,1377,4,BB CHOC CHRY BARS 12PK,43
174,1378,4,BB CHOC FUDGE BAR,34
175,1379,4,BB CKS/CREAM SANDWICH SINGLE 1EA,127
176,1380,4,BB CNTRY CONE CKS/CRM SGL 1EA,146
177,1381,4,BB CNTRY CONE VANILLA SINGLE 1EA,176
178,1382,4,BB CREME POPS 24EA,37
179,1383,4,BB DIPPED COCONUT FRT BARS,32
180,1384,4,BB FUDGE BOMBSTIK SINGLE 1EA,225
181,1385,4,BB GREAT DIVIDE SINGLES 1EA,3
182,1386,4,BB HOMEMADE VANILLA CUP SGL 1EA,231
183,1387,4,BB ICE CREAM SANDWICH 12EA,168
184,1388,4,BB ICE CREAM SANDWICH SINGLE 1EA,114
185,1389,4,BB KRUNCH BAR SINGLE 1EA,20
186,1390,4,BB LIME FRUIT BAR SNGLE,5
187,1391,4,BB MINI SANDWICH 24EA,125
188,1392,4,BB MINI SWIRL CRML CONES 18OZ,26
189,1393,4,BB MINT CCHIP BARS,58
190,1394,4,BB MIXED BERRIES FRT BARS,58
191,1395,4,"BB NEAO SANDWICH SINGLE 5,75OZ",72
192,1396,4,BB NSA MOOO BARS 12EA,36
193,1397,4,BB RAINBOW FREEZE SINGLE 1EA,77
194,1398,4,BB RAINBOW POP UPS SINGLE 1EA,75
195,1399,4,BB SMPLY VAN SNCWCH 8PK,41
196,1400,4,BB STRW FRUIT BARS,230
197,1401,4,BB SUNDAE CUPS,92
198,1402,4,BB TRPL DLGHT SNDWCH 8PK,41
199,1412,4,BLUE BELL AST SHERBET 32OZ,749
200,1413,4,BLUE BELL BANANA POPS,81
201,1414,4,BLUE BELL BRTHDAY CK CUPS 12EA,54
202,1415,4,BLUE BELL COCONUT FRUIT BARS,56
203,1416,4,BLUE BELL COTTON CANDY BARS,42
204,1417,4,BLUE BELL DBL VNLA IC SNDW 1EA,44
205,1418,4,BLUE BELL DREAM BAR,92
206,1419,4,BLUE BELL HMADE VAN CUPS 12EA,304
207,1420,4,BLUE BELL KRUNCH BARS 12EA,124
208,1421,4,BLUE BELL LIME FRUIT BARS,77
209,1422,4,BLUE BELL MINI CONE 12EA,69
210,1423,4,BLUE BELL MINI PARTY CONES,33
211,1424,4,BLUE BELL MOOO BAR,4
212,1425,4,BLUE BELL PEACH FRUIT BARS,44
213,1426,4,BLUE BELL SOUR POPS GREEN APPLE,3
214,1427,4,BLUE BELL STRAWBERRY DIPPED FRUIT BARS,74
215,1428,4,BLUE BELL STRWBRY SHRTCK BR 1EA,65
216,1433,4,BLUEBELL MINI RAINBOWS 24EA,62
217,1434,4,BLUEBELL MOOO BARS 12EA,167
218,1435,4,BLUEBELL NS ADDED PT 16OZ,103
219,1436,4,BLUEBELL SF BULLETS 24EA,96
220,1437,4,BLUEBELL SHERBET RAINBOW 16OZ,149
221,1786,5,BB BANANA FUDGE BAR,214
222,1787,5,BB BDAY PARTY SNDWCH,17
223,1788,5,BB BULLETS,151
224,1789,5,BB CHAMP VAR PK CONES,19
225,1790,5,BB CHOC & VAN CUPS 12CT,273
226,1791,5,BB CHOC CHIP COOKIE SINGLE,145
227,1792,5,BB CHOC CHRY BARS,44
228,1793,5,BB CHOC FUDGE BAR,71
229,1794,5,BB CKS/CREAM SANDWICH SINGLE,264
230,1795,5,BB CNTRY CONE CKS/CRM SGL,118
231,1796,5,BB CNTRY CONE VANILLA SINGLE,105
232,1797,5,BB CREME POPS,40
233,1798,5,BB DIPPED COCONUT FRT BARS,43
234,1799,5,BB FUDGE BOMBSTIK SINGLE,297
235,1800,5,BB GREAT DIVIDE SINGLES,3
236,1801,5,BB HOMEMADE VANILLA CUP SGL,124
237,1802,5,BB ICE CREAM SANDWICH,191
238,1803,5,BB ICE CREAM SANDWICH SINGLE,213
239,1804,5,BB KRUNCH BAR SINGLE,37
240,1805,5,BB LIME FRUIT BAR SNGLE,2
241,1806,5,BB MINI SANDWICH,171
242,1807,5,BB MINI SWIRL CRML CONES,42
243,1808,5,BB MINI SWRL BDAY PRTY CONE,27
244,1809,5,BB MINT CCHIP BARS,32
245,1810,5,BB MIXED BERRIES FRT BARS,86
246,1811,5,BB NEAO SANDWICH SINGLE,146
247,1812,5,BB NSA MOOO BARS,58
248,1813,5,BB RAINBOW FREEZE SINGLE,86
249,1814,5,BB RAINBOW POP UPS SINGLE,109
250,1815,5,BB SMPLY VAN SNCWCH,38
251,1816,5,BB SOUR POPS GREEN APPLE,8
252,1817,5,BB STRW FRUIT BARS,224
253,1818,5,BB STRWBRRY DPPD FRT BARS,75
254,1819,5,BB SUNDAE CUPS,110
255,1820,5,BB SWT FRDM VRTY PK BARS,25
256,1821,5,BB TRPL DLGHT SNDWCH,40
257,1830,5,BLUE BELL AST SHERBET,637
258,1831,5,BLUE BELL AST SHERBET 32OZ,2
259,1832,5,BLUE BELL BANANA POPS,106
260,1833,5,BLUE BELL BRTHDAY CK CUPS 12CT,74
261,1834,5,BLUE BELL CCNT FRUIT BARS,72
262,1835,5,BLUE BELL CHOC ECLAIR BAR,9
263,1836,5,BLUE BELL COTTON CANDY BARS,62
264,1837,5,BLUE BELL DBL VNLA IC SNDW,94
265,1838,5,BLUE BELL DREAM BAR,112
266,1839,5,BLUE BELL HMADE VAN CUPS 12CT,310
267,1840,5,BLUE BELL KRUNCH BARS,148
268,1841,5,BLUE BELL LIME FRUIT BARS,131
269,1842,5,BLUE BELL MINI CONE,94
270,1843,5,BLUE BELL MINI PARTY CONES,43
271,1844,5,BLUE BELL MOOO BAR,3
272,1845,5,BLUE BELL PEACH FRT BARS,56
273,1846,5,BLUE BELL STRWBRY SHRTCK BR,94
274,1850,5,BLUEBELL MINI RAINBOWS,39
275,1851,5,BLUEBELL MOOO BARS,193
276,1852,5,BLUEBELL NS ADDED PT,155
277,1853,5,BLUEBELL SF BULLETS,103
278,1854,5,BLUEBELL SHERBET RAINBOW,212
279,2279,6,BB BANANA FUDGE BAR,198
280,2280,6,BB BDAY PARTY SNDWCH,26
281,2281,6,BB BORDEAUX CHRY CHOC,5
282,2282,6,BB BULLETS,135
283,2283,6,BB CHAMP VAR PK CONES,20
284,2284,6,BB CHOC & VAN CUPS 12CT,296
285,2285,6,BB CHOC CHIP COOKIE SINGLE,57
286,2286,6,BB CHOC CHRY BARS,37
287,2287,6,BB CHOC FUDGE BAR,46
288,2288,6,BB CKS/CREAM SANDWICH SINGLE,169
289,2289,6,BB CNTRY CONE CKS/CRM SGL,175
290,2290,6,BB CNTRY CONE VANILLA SINGLE,160
291,2291,6,BB CREME POPS,54
292,2292,6,BB DIPPED COCONUT FRT BARS,36
293,2293,6,BB FUDGE BOMBSTIK SINGLE,289
294,2294,6,BB HOMEMADE VANILLA CUP SGL,144
295,2295,6,BB ICE CREAM SANDWICH,173
296,2296,6,BB ICE CREAM SANDWICH SINGLE,151
297,2297,6,BB KRUNCH BAR SINGLE,43
298,2298,6,BB LIME FRUIT BAR SNGLE,4
299,2299,6,BB MINI SANDWICH,133
300,2300,6,BB MINI SWIRL CRML CONES,51
301,2301,6,BB MINI SWRL BDAY PRTY CONE,30
302,2302,6,BB MIXED BERRIES FRT BARS,75
303,2303,6,BB NEAO SANDWICH SINGLE,78
304,2304,6,BB NSA MOOO BARS,61
305,2305,6,BB PREM BUNNY TRACKS,5
306,2306,6,BB PREM BUTTER PECAN,11
307,2307,6,BB PREM CHUNKY CHOC CHIP,3
308,2308,6,BB PREM COOKIES N CREAM,6
309,2309,6,BB PREM DBL STRWBRY,3
310,2310,6,BB PREM HOMEMADE CHOC,3
311,2311,6,BB PREM HOMEMADE VAN,14
312,2312,6,BB PREM MINT CHOC CHIP,6
313,2313,6,BB PREM NEAPOLITAN,5
314,2314,6,BB PREM PNUT BTTR PANIC,9
315,2315,6,BB PREM ROCKY ROAD,5
316,2316,6,BB PREM TSTD ALMND FUDGE,4
317,2317,6,BB RAINBOW FREEZE SINGLE,107
318,2318,6,BB RAINBOW POP UPS SINGLE,90
319,2319,6,BB SMPLY VAN SNCWCH,40
320,2320,6,BB SOUR POPS GREEN APPLE,1
321,2321,6,BB STRW FRUIT BARS,239
322,2322,6,BB STRWBRRY DPPD FRT BARS,66
323,2323,6,BB SUNDAE CUPS,87
324,2324,6,BB SWEET FREEDOM VAN,7
325,2325,6,BB SWT FRDM BAN SPLIT,9
326,2326,6,BB SWT FRDM BTR PECAN,2
327,2327,6,BB SWT FRDM BUNNY TRACKS,3
328,2328,6,BB SWT FRDM VRTY PK BARS,15
329,2329,6,BB TRPL DLGHT SNDWCH,55
330,2340,6,BLUE BELL AST SHERBET,661
331,2341,6,BLUE BELL BANANA POPS,105
332,2342,6,BLUE BELL BRTHDAY CK CUPS 12CT,81
333,2343,6,BLUE BELL CCNT FRUIT BARS,51
334,2344,6,BLUE BELL CHOC ECLAIR BAR,17
335,2345,6,BLUE BELL COTTON CANDY BARS,17
336,2346,6,BLUE BELL DBL VNLA IC SNDW,52
337,2347,6,BLUE BELL DREAM BAR,244
338,2348,6,BLUE BELL HMADE VAN CUPS 12CT,306
339,2349,6,BLUE BELL KRUNCH BARS,338
340,2350,6,BLUE BELL LIME FRUIT BARS,99
341,2351,6,BLUE BELL MINI CONE,169
342,2352,6,BLUE BELL MINI PARTY CONES,64
343,2353,6,BLUE BELL MOOO BAR,53
344,2354,6,BLUE BELL PEACH FRT BARS,49
345,2355,6,BLUE BELL STRWBRY SHRTCK BR,93
346,2360,6,BLUEBELL MINI RAINBOWS,2
347,2361,6,BLUEBELL MOOO BARS,304
348,2362,6,BLUEBELL NS ADDED PT,131
349,2363,6,BLUEBELL SF BULLETS,132
350,2364,6,BLUEBELL SHERBET RAINBOW,149
351,2471,6,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,1
352,2794,7,BB BANANA FUDGE BAR,197
353,2795,7,BB BDAY PARTY SNDWCH,44
354,2796,7,BB BORDEAUX CHRY CHOC,14
355,2797,7,BB BULLETS,137
356,2798,7,BB CHAMP VAR PK CONES,50
357,2799,7,BB CHOC & VAN CUPS 12CT,284
358,2800,7,BB CHOC CHRY BARS,4
359,2801,7,BB CHOC FUDGE BAR,91
360,2802,7,BB CKS/CREAM SANDWICH SINGLE,328
361,2803,7,BB CNTRY CONE CKS/CRM SGL,162
362,2804,7,BB CNTRY CONE VANILLA SINGLE,159
363,2805,7,BB CREME POPS,55
364,2806,7,BB DIPPED COCONUT FRT BARS,112
365,2807,7,BB FUDGE BOMBSTIK SINGLE,337
366,2808,7,BB GREAT DIVIDE SINGLES,4
367,2809,7,BB HOMEMADE VANILLA CUP SGL,162
368,2810,7,BB ICE CREAM SANDWICH,259
369,2811,7,BB ICE CREAM SANDWICH SINGLE,307
370,2812,7,BB KRUNCH BAR SINGLE,116
371,2813,7,BB LIME FRUIT BAR SNGLE,4
372,2814,7,BB MINI SANDWICH,212
373,2815,7,BB MINI SWIRL CRML CONES,59
374,2816,7,BB MINI SWRL BDAY PRTY CONE,50
375,2817,7,BB MIXED BERRIES FRT BARS,155
376,2818,7,BB NEAO SANDWICH SINGLE,192
377,2819,7,BB PREM BUNNY TRACKS,29
378,2820,7,BB PREM BUTTER PECAN,24
379,2821,7,BB PREM CHUNKY CHOC CHIP,15
380,2822,7,BB PREM COOKIES N CREAM,23
