"","Month","LongDes","TotItemQty","Brand"
"82",4,"BLUE BELL LIME FRUIT BARS",77,"BLUE BELL"
"83",4,"BLUE BELL MINI CONE 12EA",69,"BLUE BELL"
"84",4,"BLUE BELL MINI PARTY CONES",33,"BLUE BELL"
"85",4,"BLUE BELL MOOO BAR",4,"BLUE BELL"
"86",4,"BLUE BELL PEACH FRUIT BARS",44,"BLUE BELL"
"87",4,"BLUE BELL SOUR POPS GREEN APPLE",3,"BLUE BELL"
"88",4,"BLUE BELL STRAWBERRY DIPPED FRUIT BARS",74,"BLUE BELL"
"89",4,"BLUE BELL STRWBRY SHRTCK BR 1EA",65,"BLUE BELL"
"90",4,"BLUEBELL MINI RAINBOWS 24EA",62,"BLUE BELL"
"91",4,"BLUEBELL MOOO BARS 12EA",167,"BLUE BELL"
"92",4,"BLUEBELL NS ADDED PT 16OZ",103,"BLUE BELL"
"93",4,"BLUEBELL SF BULLETS 24EA",96,"BLUE BELL"
"94",4,"BLUEBELL SHERBET RAINBOW 16OZ",149,"BLUE BELL"
"95",5,"BBELL ASST FLAVOR PINTS",6952,"BLUE BELL"
"96",5,"BLUE BELL AST SHERBET",637,"BLUE BELL"
"97",5,"BLUE BELL AST SHERBET 32OZ",2,"BLUE BELL"
"98",5,"BLUE BELL BANANA POPS",106,"BLUE BELL"
"99",5,"BLUE BELL BRTHDAY CK CUPS 12CT",74,"BLUE BELL"
"100",5,"BLUE BELL CCNT FRUIT BARS",72,"BLUE BELL"
"101",5,"BLUE BELL CHOC ECLAIR BAR",9,"BLUE BELL"
"102",5,"BLUE BELL COTTON CANDY BARS",62,"BLUE BELL"
"103",5,"BLUE BELL DBL VNLA IC SNDW",94,"BLUE BELL"
"104",5,"BLUE BELL DREAM BAR",112,"BLUE BELL"
"105",5,"BLUE BELL HMADE VAN CUPS 12CT",310,"BLUE BELL"
"106",5,"BLUE BELL KRUNCH BARS",148,"BLUE BELL"
"107",5,"BLUE BELL LIME FRUIT BARS",131,"BLUE BELL"
"108",5,"BLUE BELL MINI CONE",94,"BLUE BELL"
"109",5,"BLUE BELL MINI PARTY CONES",43,"BLUE BELL"
"110",5,"BLUE BELL MOOO BAR",3,"BLUE BELL"
"111",5,"BLUE BELL PEACH FRT BARS",56,"BLUE BELL"
"112",5,"BLUE BELL STRWBRY SHRTCK BR",94,"BLUE BELL"
"113",5,"BLUEBELL MINI RAINBOWS",39,"BLUE BELL"
"114",5,"BLUEBELL MOOO BARS",193,"BLUE BELL"
"115",5,"BLUEBELL NS ADDED PT",155,"BLUE BELL"
"116",5,"BLUEBELL SF BULLETS",103,"BLUE BELL"
"117",5,"BLUEBELL SHERBET RAINBOW",212,"BLUE BELL"
"118",6,"BBELL ASST FLAVOR PINTS",5450,"BLUE BELL"
"119",6,"BLUE BELL AST SHERBET",661,"BLUE BELL"
"120",6,"BLUE BELL BANANA POPS",105,"BLUE BELL"
"121",6,"BLUE BELL BRTHDAY CK CUPS 12CT",81,"BLUE BELL"
"122",6,"BLUE BELL CCNT FRUIT BARS",51,"BLUE BELL"
"123",6,"BLUE BELL CHOC ECLAIR BAR",17,"BLUE BELL"
"124",6,"BLUE BELL COTTON CANDY BARS",17,"BLUE BELL"
"125",6,"BLUE BELL DBL VNLA IC SNDW",52,"BLUE BELL"
"126",6,"BLUE BELL DREAM BAR",244,"BLUE BELL"
"127",6,"BLUE BELL HMADE VAN CUPS 12CT",306,"BLUE BELL"
"128",6,"BLUE BELL KRUNCH BARS",338,"BLUE BELL"
"129",6,"BLUE BELL LIME FRUIT BARS",99,"BLUE BELL"
"130",6,"BLUE BELL MINI CONE",169,"BLUE BELL"
"131",6,"BLUE BELL MINI PARTY CONES",64,"BLUE BELL"
"132",6,"BLUE BELL MOOO BAR",53,"BLUE BELL"
"133",6,"BLUE BELL PEACH FRT BARS",49,"BLUE BELL"
"134",6,"BLUE BELL STRWBRY SHRTCK BR",93,"BLUE BELL"
"135",6,"BLUEBELL MINI RAINBOWS",2,"BLUE BELL"
"136",6,"BLUEBELL MOOO BARS",304,"BLUE BELL"
"137",6,"BLUEBELL NS ADDED PT",131,"BLUE BELL"
"138",6,"BLUEBELL SF BULLETS",132,"BLUE BELL"
"139",6,"BLUEBELL SHERBET RAINBOW",149,"BLUE BELL"
"140",7,"BBELL ASST FLAVOR PINTS",7463,"BLUE BELL"
"141",7,"BLUE BELL AST SHERBET",672,"BLUE BELL"
"142",7,"BLUE BELL BANANA POPS",177,"BLUE BELL"
"143",7,"BLUE BELL BRTHDAY CK CUPS 12CT",89,"BLUE BELL"
