"","month","LongDes","sum(ItemQuant)"
"109",1,"BLU BUNNY MINI SWRL BDAY PARTY IC CONE",31
"110",1,"BLUE BELL AST SHERBET 32OZ",516
"111",1,"BLUE BELL BANANA POPS",189
"112",1,"BLUE BELL BRTHDAY CK CUPS 12EA",99
"113",1,"BLUE BELL CHOC ECLAIR BAR 1EA",1
"114",1,"BLUE BELL COCONUT FRUIT BARS",184
"115",1,"BLUE BELL COTTON CANDY BARS",71
"116",1,"BLUE BELL DBL VNLA IC SNDW 1EA",69
"117",1,"BLUE BELL DREAM BAR",201
"118",1,"BLUE BELL HMADE VAN CUPS 12EA",371
"119",1,"BLUE BELL KRUNCH BARS 12EA",383
"120",1,"BLUE BELL LIME FRUIT BARS",254
"121",1,"BLUE BELL MINI CONE 12EA",154
"122",1,"BLUE BELL MINI PARTY CONES",58
"123",1,"BLUE BELL MOOO BAR",13
"124",1,"BLUE BELL PEACH FRUIT BARS",129
"125",1,"BLUE BELL SOUR POPS GREEN APPLE",29
"126",1,"BLUE BELL STRAWBERRY DIPPED FRUIT BARS",197
"127",1,"BLUE BELL STRWBRY SHRTCK BR 1EA",115
"128",1,"BLUE BUNNY BIG FUDGE BARS",85
"129",1,"BLUE BUNNY MINI SWIRLS VANILLA CONES 18OZ",86
"130",1,"BLUE BUNNY ORANGE DREAM BAR 2.25OZ",39
"131",1,"BLUE BUNNY ORIG BOMB POP 12PK/1.75 FL OZ",108
"132",1,"BLUEBELL MINI RAINBOWS 24EA",69
"133",1,"BLUEBELL MOOO BARS 12EA",375
"134",1,"BLUEBELL NS ADDED PT 16OZ",134
"135",1,"BLUEBELL SF BULLETS 24EA",163
"136",1,"BLUEBELL SHERBET RAINBOW 16OZ",162
"137",1,"BOMB POP HWN PNCH 12PK",31
"138",1,"BREYER NAT LT CRMY VANILLA 48OZ",7
"139",1,"BREYER NTRL CHRY VANILLA 56OZ",22
"140",1,"BREYER NTRL FRCH VAN 56OZ",49
"141",1,"BREYER VANILLA ICE CREAM 56OZ",88
"142",1,"BREYERS BLASTS BDAY",19
"143",1,"BREYERS CARB SMART CHOC",1
"144",1,"BREYERS CARB SMART CHOC 48OZ",38
"145",1,"BREYERS CO B GS THIN MINTS",20
"146",1,"BREYERS CO BRAND M&MS",9
"147",1,"BREYERS FAT FREE CRMY VAN 48OZ",9
"148",1,"BREYERS LACTOSE FREE VAN 56OZ",47
"149",1,"BREYERS NAT ROCKY ROAD 56OZ",28
"150",1,"BREYERS NAT STRAWBERRY 56OZ",8
"151",1,"BREYERS NSA VANILLA 48OZ",21
"152",1,"BREYERS NTRL CHOC 48OZ",38
"153",1,"BREYERS SNICKERS IC CRM 48OZ",47
"154",1,"BREYERS WFL CONE W/HERSHEY CHOC CHP",36
"155",1,"BRYER SMRT CARB VAN I/C 56OZ",47
"156",1,"BRYERS OREO CHOC CKIE&CRM",18
"157",1,"BRYRS CRBSMRT ALMD I/C BAR 6PK",86
"158",1,"CADBURY CARAMELLO RED FAT IC BAR 12OZ",10
"159",1,"CADBURY CHOC ALMD RED FAT IC BAR",4
"160",1,"CIAO BELLA KEY LIME GRHM GEL SQ 3 OZ",21
"161",1,"CLEMMYS IC CHOC CHIP",10
"162",1,"CLEMMYS IC CHOCOLATE",7
"163",1,"CLEMMYS IC TSTD ALMOND",1
"164",1,"CLEMMYS IC VANILLA BEAN",11
"165",1,"CLEMMYS SF IC BAR ORG CREAM",4
"166",1,"COTTON CANDY BAR",29
"167",1,"DAN OIKOS GRK FRZN YGRT CAFE LATTE",21
"168",1,"DAN OIKOS GRK FRZN YGRT CHOC",24
"169",1,"DAN OIKOS GRK FRZN YGRT KEY LIME",21
"170",1,"DAN OIKOS GRK FRZN YGRT STRWBRY",15
"171",1,"DIANA BANANAS BABIES DARK CHOC",51
"172",1,"DIANAS BANABAS BABIES MILK CHOC",42
"173",1,"DIANAS BANANAS BABIES MLK CHOC W/PNUT",21
"174",1,"DREYER NSA SC VAN BEAN 48OZ",13
"175",1,"DREYER'S REAL STRWBRRIES 48OZ",11
"176",1,"DREYERS ASSORTED FRUIT BAR 12EA",95
"177",1,"DREYERS BUTTER PECAN IC 48OZ",13
"178",1,"DREYERS COOKIE DOUGH 48OZ",25
"179",1,"DREYERS FRN VANILLA ICRM 48OZ",4
"180",1,"DREYERS FRT BAR COCONUT 6CT",100
"181",1,"DREYERS FRUIT BAR STRAW 6PK",127
"182",1,"DREYERS LIGHT BUTTER PECAN 48OZ",36
"183",1,"DREYERS LIGHT CHOCOLATE 48OZ",18
"184",1,"DREYERS LIGHT FRENCH VAN 48OZ",20
"185",1,"DREYERS LIGHT MINT 48OZ",23
"186",1,"DREYERS LIGHT ROCKY ROAD 48OZ",36
"187",1,"DREYERS LIGHT STRAWBERRY 48OZ",1
"188",1,"DREYERS LIMITED EDITION 48OZ",16
"189",1,"DREYERS LT CARM DELIGHT 48OZ",19
"190",1,"DREYERS LT VANILLA 48OZ",40
"191",1,"DREYERS MINT CHOC CHIP 48OZ",42
"192",1,"DREYERS NEAPOLITAN 48OZ",17
"193",1,"DREYERS NSA BUTTER PECAN 48OZ",35
"194",1,"DREYERS NSA FDG TRACKS 48OZ",11
"195",1,"DREYERS NSA VANILLA 48OZ",33
"196",1,"DREYERS POMEGRANATE BARS",79
"197",1,"DREYERS ROCKY ROAD ICRM 48OZ",9
"198",1,"DREYERS VANILLA ICE CREAM 48OZ",34
"199",1,"DREYERS YOG KEY LIME PIE",8
"200",1,"DREYERS YOGURT FF VAN 48OZ",14
"201",1,"DREYERS YOGURT VAN 48OZ",1
"202",1,"DREYRS SC YOG CRML PRALINE",11
"203",1,"DRUMSTICK NESTLE CRUNCH DPED",194
"204",1,"DRUMSTICK VANILLA",70
"205",1,"DRYERS SC MINT COOKIE CRNCH",7
"206",1,"DRYRD FRUIT BAR NSA VARIETY 12CT",122
"207",1,"DRYRS LOADED BUTTERFINGER 48OZ",21
"208",1,"DRYRS LT S/CHRN FDG TRACKS 48OZ",6
