"","month","LongDes","sum(ItemQuant)"
"2467",6,"FREAL MILKSHAKE MINT",17
"2468",6,"FREAL MILKSHAKE REESES",41
"2469",6,"FREAL MILKSHAKE STRW",39
"2470",6,"FREAL MILKSHAKE VAN",26
"2471",6,"FREAL SMOOTHIE BB RSP PMGRNTE 16OZ",1
"2472",6,"FREAL STRW/BAN SMOOTHIE",21
"2473",6,"FRTARE STRW,MXD BRY,MILK",12
"2474",6,"FRUITTARE FRT MILK BANANA",13
"2475",6,"FRUITTARE REAL FRT MANGO",12
"2476",6,"GANDY I. CRM MOOSE TRACKS",47
"2477",6,"GANDY I.CRM CARAMEL CARIBOU",29
"2478",6,"GANDY I.CRM CHERRY VANILLA",17
"2479",6,"GANDY I.CRM NEAPOLITAN",9
"2480",6,"GANDY ICE CRM CHOCOLATE",20
"2481",6,"GANDY ICE CRM VANILLA",69
"2482",6,"GANDY SLIM & TRM VANILLA",25
"2483",6,"GANDYS VANILLA ICE CREAM 4QT",154
"2484",6,"GELATO CRML TFFEE CRNCH",7
"2485",6,"GELATO EXPRSSO CPPCCNO CR",7
"2486",6,"GELATO ROMAN CRM SWRL",8
"2487",6,"GELATO TIRAMISU CHOC CFFE",5
"2488",6,"HAAGEN DAZ CUP CHOC PNUT BTTR",122
"2489",6,"HAAGEN DAZ VAN YOGURT",7
"2490",6,"HAAGEN DAZS BTR PECAN",54
"2491",6,"HAAGEN DAZS CHOC ICE CREAM",32
"2492",6,"HAAGEN DAZS CHOC PNUT BTTR",35
"2493",6,"HAAGEN DAZS COFFEE IC",80
"2494",6,"HAAGEN DAZS CUP CHOCOLATE",118
"2495",6,"HAAGEN DAZS CUP COFFEE",126
"2496",6,"HAAGEN DAZS CUP VANILLA",91
"2497",6,"HAAGEN DAZS GELATO CUP SEA SLT CRML",71
"2498",6,"HAAGEN DAZS GELATO DRK CHOC CHP",16
"2499",6,"HAAGEN DAZS GELATO LIMONCELLO",25
"2500",6,"HAAGEN DAZS GELATO SEA SALT CRML",32
"2501",6,"HAAGEN DAZS GELATO STRACCIATELL",16
"2502",6,"HAAGEN DAZS GELATO VAN BEAN",12
"2503",6,"HAAGEN DAZS RUM RAISIN",25
"2504",6,"HAAGEN-DAZ VAN BEAN",29
"2505",6,"HAAGN DAZ GELATO CAPPUCCINO",15
"2506",6,"HAG DAZ VANILLA",50
"2507",6,"HAGEN DAZ CHOCOLATE",43
"2508",6,"HAGEN DAZ COFFEE",47
"2509",6,"HAGEN DAZ STWBRRY IC",35
"2510",6,"HAGEN DAZ VANILLA ICE CREAM",34
"2511",6,"HAGEN DAZS CHOC CHOC CHP",32
"2512",6,"HAGEN DAZS VAN SWSS ALMD",22
"2513",6,"HAGN DAZ GELATO BLK CHRY AMRTO",19
"2514",6,"HD CARAMEL CONE CUP",72
"2515",6,"HD SNACK VAN & ALMND",25
"2516",6,"HD VAN CHOC PNUT BTR BAR",22
"2517",6,"HGN DAZS CUP DULC DE LECHE",87
"2518",6,"JLLY LLMA SORBET 4SQZ PNAPLE",2
"2519",6,"JOLLY LLAMA SORBET 45QZUP BAN CCNUT",1
"2520",6,"JOLLY LLAMA SORBET 45QZUP MANGO",6
"2521",6,"JOLLY LLAMA SORBET 45QZUP RSPBRY",4
"2522",6,"JOLLY LLAMA SORBET 45QZUP STRWBRY",7
"2523",6,"JULIES BLACKBERRY SORBET BAR",4
"2524",6,"JULIES FUDGE BAR",4
"2525",6,"JULIES ICRM SANDWICH",7
"2526",6,"KEMPS FF CHOC FRZN YOG",41
"2527",6,"KEMPS FF CRML PRALINE YOG",25
"2528",6,"KEMPS FF NSA VAN YOG",33
"2529",6,"KEMPS FF STRW FRZN YOG",14
"2530",6,"KEMPS FF VAN FRZN YOG",22
"2531",6,"KEMPS LF BLK JCK CHRY YOG",20
"2532",6,"KEMPS LF BTTR PECAN YOG",16
"2533",6,"KEMPS LF CHOC ALMND",7
"2534",6,"KEMPS LF CRML BROWNIE YOG",18
"2535",6,"KEMPS LF MOOSE TRKS YOG",39
"2536",6,"KEMPS LF SEA SALT CRML YOG",12
"2537",6,"KEMPS LF VAN BEAN YOG",37
"2538",6,"KLNDK CKS CRM KANDY BAR",21
"2539",6,"KLNDK CRML PNUT KANDY BAR",28
"2540",6,"KLNDK FDGE CRNCH KANDY BR",16
"2541",6,"KLONDIKE HEATH BAR",63
"2542",6,"KLONDIKE MINT CHOC CHIP",49
"2543",6,"KLONDIKE ORIGINAL VAN",88
"2544",6,"KLONDIKE RED FAT NSA",44
"2545",6,"KLONDIKE VANILLA SANDWICH",88
"2546",6,"LIFEWAY KEFIR TT MANGO",23
"2547",6,"LIFEWAY KEFIR TT ORIGINAL",15
"2548",6,"LIFEWAY KEFIR TT PMGRANT",21
"2549",6,"LIFEWAY KEFIR TT STRWBRY",37
"2550",6,"LUIGIS ITAL ICE VARTY PK",55
"2551",6,"LUIGIS ITALIAN ICE CHERRY",37
"2552",6,"LUIGIS ITALIAN ICE NS VRTY",28
"2553",6,"M/MAID SFT FRZN LEMONADE",37
"2554",6,"M/MAID SFT FRZN LIMEADE",36
"2555",6,"MAGNOLIA ICE CREAM CCNUT",11
"2556",6,"MAGNOLIA ICE CREAM TRPCL AVCDO",21
"2557",6,"MAGNOLIA ICE CREAM TRPCL UBE",17
"2558",6,"MAGNUM DBL CRML IC BARS",61
"2559",6,"MAGNUM GOLD 3PK",28
"2560",6,"MGNM MINI ALMND WHT VRTY",48
"2561",6,"MINUTE MAID JUICE BARS",40
"2562",6,"MONSTER MUNCH BOOGER BATTER",3
"2563",6,"MONSTER MUNCH POLAR BEAR POOP",3
"2564",6,"MONSTER MUNCH SPECKLED SLIME",2
"2565",6,"MONSTER MUNCH T REX ROX",1
"2566",6,"MOUNDS ICRM BARS",17
"2567",6,"NE CLASSIC DRMSTICK COMBO",105
"2568",6,"NE CLASSIC DRMSTK VNLLA",172
"2569",6,"NESTLE LIL DRUM CHOC SWIRL",30
"2570",6,"OSD ND CHOC VELVET OG",3
"2571",6,"OSD ND CREAMY VANILLA OG",15
"2572",6,"OSD ND NEOPOLITAN",8
"2573",6,"POPSICLE FIRECRACKER JR",93
"2574",6,"POPSICLE FUDGSICLE NSA",101
"2575",6,"POPSICLE OR/GR/CHRY",107
"2576",6,"POPSICLE S/F OR/CH/GR",151
"2577",6,"POPSICLE SCRIBBLERS",97
"2578",6,"POPSICLE SF ORG/CHRY/GRP",66
"2579",6,"POPSICLE SF TROPICALS",75
"2580",6,"PPSCL JB TFRTI,VN CHRY,BL",33
"2581",6,"PPSCLE REDS CHRY,RSP,STRW",70
"2582",6,"RBYS RCKT DSSRT FRZ GLXY",3
"2583",6,"RBYS RCKT DSSRT FRZ ORBT",1
"2584",6,"RBYS RCKT DSSRT FRZ RCK",7
"2585",6,"REESE'S ICE CREAM CUP",70
"2586",6,"RICE DREAM BITES VAN",15
"2587",6,"RICE DREAM VAN",15
"2588",6,"S.COW CHOC.VAN SANDWICH",54
"2589",6,"S/COW NSA VANILLA SANDWICH",59
"2590",6,"SCOOPS BANANA NUT",17
"2591",6,"SCOOPS BUTTER PECAN",24
"2592",6,"SCOOPS CHOCOLATE",53
"2593",6,"SCOOPS CHOCOLATE CHIP",26
"2594",6,"SCOOPS COOKIES & CREAM",43
"2595",6,"SCOOPS LOWFAT CHOCOLATE",7
"2596",6,"SCOOPS LOWFAT VANILLA",7
"2597",6,"SCOOPS MUDSLIDE COFFEE I/C",31
"2598",6,"SCOOPS NEOPOLITAN",32
"2599",6,"SCOOPS ROCKY ROAD",26
"2600",6,"SCOOPS STRAWBERRY",20
"2601",6,"SCOOPS TSTD ALMOND FUDGE",52
"2602",6,"SCOOPS VANILLA",170
"2603",6,"SCOOPS VANILLA FUDGE",15
"2604",6,"SK ICE CRM SAND LF VAN",38
"2605",6,"SKINNY COW COOKIES & CRM",74
"2606",6,"SKINNY COW FUDGE BAR",36
"2607",6,"SLIM A BEAR 100CAL VAN BAR",71
"2608",6,"SLIM ABEAR 100CA TOFF/FRVAN",68
"2609",6,"SNICKERS BAR",183
"2610",6,"SNICKERS ICE CRM BARS",79
"2611",6,"SO DEL BAR CNUT ICRM ALM",32
"2612",6,"SO DEL CNUT BAN SPLT MINI SNDW",8
"2613",6,"SO DEL COCNT CHOC ICRM",10
"2614",6,"SO DEL COCONT CKY DGH",22
"2615",6,"SO DEL COCONT MLK ICRM",4
"2616",6,"SO DEL COCONT MOCHA",17
"2617",6,"SO DEL COCONT VAN",25
"2618",6,"SO DELICIO SYICRM MIN SAN VAN",9
"2619",6,"SORBETTO BLOOD ORANGE",7
"2620",6,"SORBETTO LEMON",8
"2621",6,"SOUR POP GREEN APPLE",14
"2622",6,"SOY DELC CHOC OBESSN OG2",7
"2623",6,"STN RDG BAN SPLT ICRM",52
"2624",6,"STN RDG CH ALM FDG ICRM",81
"2625",6,"STN RDG CH CHRY BRDX ICRM",56
"2626",6,"STN RDG CHC CHP ICRM SCRND",46
"2627",6,"STN RDG CHOC ICRM SCRND",110
"2628",6,"STN RDG CKS N CRM ICRM SC",82
"2629",6,"STN RDG CRM PRLN PCN ICRM",100
"2630",6,"STN RDG CRML CHSCK ICRM",52
"2631",6,"STN RDG CRML WFL CNE ICRM",65
"2632",6,"STN RDG DB BRY CHSCK ICRM",46
"2633",6,"STN RDG DBL VAN ICRM",177
"2634",6,"STN RDG FR VAN ICRM SCRND",138
"2635",6,"STN RDG IC SNDWCH",236
"2636",6,"STN RDG KRNCH ICRM BAR",39
"2637",6,"STN RDG MINI SNDWCH",34
"2638",6,"STN RDG NPLTN ICRM SCRND",76
"2639",6,"STN RDG ORANGE SHERBET",20
"2640",6,"STN RDG PISTCH ICRM SCRND",53
"2641",6,"STN RDG PNT BTR CUP ICRM",95
"2642",6,"STN RDG POLAR ICECRM BAR",4
"2643",6,"STN RDG RAINBOW SHERBET",57
"2644",6,"STN RDG RASP SHERBET",41
"2645",6,"STN RDG SLTD CRML ICRM",49
"2646",6,"STN RDG SPUMONI ICRM",41
"2647",6,"STN RDG STRW ICRM SCRND",68
"2648",6,"STN RDG VAN ICRM BRS",48
"2649",6,"STN RDG VAN ICRM SCRND",175
"2650",6,"STN RDG VANILLA CONE",83
"2651",6,"STN RDG VRTY CONE",101
"2652",6,"STNYFLD FRZN YOG DRK CHOC",11
"2653",6,"STNYFLD LF MNT CHO YGRT OG2",6
"2654",6,"STNYFLD NF VAN FDG YGRT OG2",18
"2655",6,"STNYFLD NF VAN YOGRT OG2",15
"2656",6,"STNYFLD YGRT FRZ NF BAR VAN W/CHOC",18
"2657",6,"STONY YGRT GRK FRZ FF VAN",14
"2658",6,"STONY YOGURT FRZ FF BLBRY",10
"2659",6,"STONY YOGURT FRZ FF CHOC",19
"2660",6,"STONY YOGURT FRZ FF HONEY",8
"2661",6,"SV ASSTD POPS",28
"2662",6,"SV CHOC CHIP ICRM SQUARE",19
"2663",6,"SV CHOC ICE CREAM SQUARE",1
"2664",6,"SV CHOC PAIL ICE CREAM",83
"2665",6,"SV FUDGE BARS",27
"2666",6,"SV NEAPLTN ICE CRM SQUARE",19
"2667",6,"SV NEAPOLITAN PAIL ICECRM",100
"2668",6,"SV RD WHT BLUE POPS",10
"2669",6,"SV STRW PAIL ICE CREAM",51
"2670",6,"SV VAN ICE CREAM SQUARE",18
"2671",6,"SV VANILLA PAIL ICE CREAM",248
"2672",6,"SWT FRDM VAN ICRM CONE",11
"2673",6,"SYDRM BTR PCAN DSERT",18
"2674",6,"TALENTI BLOOD ORANGE SORBETTO",19
"2675",6,"TALENTI GEL FUDGE BROWNIE",56
"2676",6,"TALENTI GELATO CARIBBEAN COCONUT",48
"2677",6,"TALENTI GELATO CH/PNT BTR CUP",82
"2678",6,"TALENTI GELATO CRML CKIE CRNCH",115
"2679",6,"TALENTI GELATO DBE DRK CHOC",66
"2680",6,"TALENTI GELATO MILK CHOC",54
"2681",6,"TALENTI GELATO PISTACHIO",56
"2682",6,"TALENTI GELATO ROMAN RASP SORBETTO",64
"2683",6,"TALENTI GELATO SCLN PSTCHO",1
"2684",6,"TALENTI GELATO SEA SALT",116
"2685",6,"TALENTI GELATO VANILLA BEAN",87
"2686",6,"TFTT CUTIS MNT CHCHP DF",11
"2687",6,"THR TWNS IC CRM STRWBRY",4
"2688",6,"THREE TWINS ICE CRM CRML",1
"2689",6,"THREE TWINS ICECRM SNDWCH",8
"2690",6,"THREE TWNS ICE CRM CHOC",6
"2691",6,"THREE TWNS ICE CRM VAN",3
"2692",6,"THREE TWNS ICE CRM VAN C",2
"2693",6,"TLNTI GEL BLK RSP CHC CHP",37
"2694",6,"TOFUTTI CUTIES CHOCOLATE",15
"2695",6,"TOFUTTI CUTIES VANILLA",18
"2696",6,"WONKA PUSH UP 9 CT BOX",32
"2697",6,"WW BLBRY SWRL BARS",57
"2698",6,"WW BLK CHRY SWRL GRK FRZN",8
"2699",6,"WW CANDY BARS 6/2 FL OZ",79
"2700",6,"WW CHOC SMTH BARS",24
"2701",6,"WW CKIES&CRM BARS",53
"2702",6,"WW DIVINE TRIPLE CHOCOLATE BARS",38
"2703",6,"WW DRK CHC DULCE DE LECHE",40
"2704",6,"WW DRK CHOC RSPB BARS",65
"2705",6,"WW ENGLSH TFEE CRCH BAR",108
"2706",6,"WW GIANT CHOC FUDGE BAR",129
"2707",6,"WW GIANT LATTE BAR",36
"2708",6,"WW PCH SWIRL BARS",45
"2709",6,"WW SLTD CRML ICECRM BAR",95
"2710",6,"WW SNACK SIZE VAN FUDGE SWRL CONES",54
"2711",6,"WW SNK SZ CHOC FDG BARS",69
"2712",6,"WW SNK SZ VP ICE CRM SNDWCH",30
"2713",6,"WW STRAW SWRL GRK FRZN YOG",17
"2714",6,"WW STRW SMOOTHIE BARS",42
"2715",6,"WW VAN RND ICE CRM SNDWCH",73
"2716",6,"YASSO BLBRY BAR",21
"2717",6,"YASSO COCONUT BAR",25
"2718",6,"YASSO MANGO BAR",12
"2719",6,"YASSO RASP BAR",19
"2720",6,"YASSO STRW BAR",12
"2721",6,"YORK PEPPERMINT ICRM PATTY",20
"2722",7,"*CV*DIPPIN DOT COTTON CANDY",34
"2723",7,"*CV*DIPPIN DOTS BAN SPLIT",55
"2724",7,"*CV*DIPPIN DOTS BIRTHDAY CAKE",41
"2725",7,"*CV*DIPPIN DOTS CHOC",31
"2726",7,"*CV*DIPPIN DOTS CKIE DGH",43
"2727",7,"*CV*DIPPIN DOTS CKIES/CRM",51
"2728",7,"*CV*DIPPIN DOTS ICE RNBW",69
"2729",7,"*CV*DIPPIN DOTS MINT CHOC",15
"2730",7,"*CV*DIPPIN DOTS STRWBRY",6
"2731",7,"*CV*DIPPIN DOTS VAN ICE CRM",72
"2732",7,"*D*HD CHOCOLATE CUP",1
"2733",7,"*D*WW SNCK SZ RD VELVET",2
"2734",7,"*R* DREYERS FRT BAR LIME",60
"2735",7,"*R* HD DULCE DE LECHE CARAMEL",57
"2736",7,"*S*KEMP'S CANDY CANE ICECREAM",4
"2737",7,"*S*KEMP'S CINNAMON ICECREAM",4
"2738",7,"*S*KEMP'S PUMPKIN PIE ICECREAM",1
"2739",7,"*Z*CADBURY CARAMELLO RED FAT IC BAR",2
"2740",7,"ALDENS ICE CREAM CHOC CHP",9
"2741",7,"ALDENS ICE CREAM CKIE CRM",5
"2742",7,"ALDENS ICE CREAM VANILLA",33
"2743",7,"ALDENS ICRM MINT CHIP OG2",6
"2744",7,"ALMOND DREAM CAPP SWIRL",13
"2745",7,"ALMOND DREAM CHOC",22
"2746",7,"ALMOND DREAM CHOC BITES",7
"2747",7,"ALMOND DREAM ICECRM SNDWCH",7
"2748",7,"ALMOND DREAM PRLN CRNCH",50
"2749",7,"ALMOND DREAM VNLA BITE",18
"2750",7,"AMY'S DSRT N0NDRY CHO",2
"2751",7,"AMY'S DSRT N0NDRY MINT",6
"2752",7,"AMY'S DSRT N0NDRY MOCH",3
"2753",7,"AMY'S DSRT N0NDRY VNL",1
"2754",7,"ARTIC ZERO ICE CRM CHOC",34
"2755",7,"ARTIC ZERO ICE CRM CHOC PNUT BTR",39
"2756",7,"ARTIC ZERO ICE CRM COFFEE",15
"2757",7,"ARTIC ZERO ICE CRM COOKIE N CRM",46
"2758",7,"ARTIC ZERO ICE CRM MINT CHOC CKY",27
"2759",7,"ARTIC ZERO ICE CRM VANILLA",65
"2760",7,"B BELL ASST FRZN YOGURT HG",70
"2761",7,"B BELL ASST GOLD ICE CRM HG",4319
"2762",7,"B BELL BROWN RIM I/CREAM HG",1671
"2763",7,"B BELL LIGHT I/CREAM HG",144
"2764",7,"B BELL NO SUGAR ADDED HG",240
"2765",7,"B BUNNY MINI SWRL VAN CONES",98
"2766",7,"B&J BAN P/BTR GRK YOG",43
"2767",7,"B&J BLBRY VAN GRHM GRK YOG",32
"2768",7,"B&J CHEESECAKE BROWNIE",47
"2769",7,"B&J CHERRY GARCIA",150
"2770",7,"B&J CHERRY GARCIA CUP",156
"2771",7,"B&J CHOC FDG BROWNIE",148
"2772",7,"B&J CHOC FDG BROWNIE CUP",197
"2773",7,"B&J CHOCC CHP COOKIE DOUGH",123
"2774",7,"B&J CHUNKEY MONKEY",70
"2775",7,"B&J CINNAMON BUNS",49
"2776",7,"B&J COFFEE BUZZ",92
"2777",7,"B&J COFFEE W/HEATH",58
"2778",7,"B&J COOKIE DOUGH CUP",244
"2779",7,"B&J FY CHERRY GARCIA",64
"2780",7,"B&J KARAMEL SUTRA",99
"2781",7,"B&J MILK & COOKIES",105
"2782",7,"B&J NEW YORK SUPER FUDGE",35
"2783",7,"B&J PEANUT BUTTER CUP",81
"2784",7,"B&J PHISH FOOD PT",116
"2785",7,"B&J PNT BTTR FUDGE CORE",73
"2786",7,"B&J RASP FDG CHNK GRK YOG",24
"2787",7,"B&J RED VELVET CAKE ICE CRM",53
"2788",7,"B&J SLTD CARAMEL CORE",77
"2789",7,"B&J STPHN COLBRT AMRICNE DREAM",119
"2790",7,"B&J STRW SHRCK GRK YOG",23
"2791",7,"B&J VANILLA",17
"2792",7,"B.BELL FUDGE BARS",450
"2793",7,"B/BNY SWT FREEDOM VAN SNK SZ CONES",32
"2794",7,"BB BANANA FUDGE BAR",197
"2795",7,"BB BDAY PARTY SNDWCH",44
"2796",7,"BB BORDEAUX CHRY CHOC",14
"2797",7,"BB BULLETS",137
"2798",7,"BB CHAMP VAR PK CONES",50
"2799",7,"BB CHOC & VAN CUPS 12CT",284
"2800",7,"BB CHOC CHRY BARS",4
"2801",7,"BB CHOC FUDGE BAR",91
"2802",7,"BB CKS/CREAM SANDWICH SINGLE",328
"2803",7,"BB CNTRY CONE CKS/CRM SGL",162
"2804",7,"BB CNTRY CONE VANILLA SINGLE",159
"2805",7,"BB CREME POPS",55
"2806",7,"BB DIPPED COCONUT FRT BARS",112
"2807",7,"BB FUDGE BOMBSTIK SINGLE",337
"2808",7,"BB GREAT DIVIDE SINGLES",4
"2809",7,"BB HOMEMADE VANILLA CUP SGL",162
"2810",7,"BB ICE CREAM SANDWICH",259
"2811",7,"BB ICE CREAM SANDWICH SINGLE",307
"2812",7,"BB KRUNCH BAR SINGLE",116
"2813",7,"BB LIME FRUIT BAR SNGLE",4
"2814",7,"BB MINI SANDWICH",212
"2815",7,"BB MINI SWIRL CRML CONES",59
"2816",7,"BB MINI SWRL BDAY PRTY CONE",50
"2817",7,"BB MIXED BERRIES FRT BARS",155
"2818",7,"BB NEAO SANDWICH SINGLE",192
"2819",7,"BB PREM BUNNY TRACKS",29
"2820",7,"BB PREM BUTTER PECAN",24
"2821",7,"BB PREM CHUNKY CHOC CHIP",15
"2822",7,"BB PREM COOKIES N CREAM",23
"2823",7,"BB PREM DBL STRWBRY",19
"2824",7,"BB PREM HOMEMADE CHOC",19
"2825",7,"BB PREM HOMEMADE VAN",50
"2826",7,"BB PREM MINT CHOC CHIP",31
"2827",7,"BB PREM NEAPOLITAN",18
"2828",7,"BB PREM PNUT BTTR PANIC",31
"2829",7,"BB PREM ROCKY ROAD",20
"2830",7,"BB PREM TSTD ALMND FUDGE",17
"2831",7,"BB RAINBOW FREEZE SINGLE",157
"2832",7,"BB RAINBOW POP UPS SINGLE",137
"2833",7,"BB SMPLY VAN SNCWCH",79
"2834",7,"BB STRW FRUIT BARS",419
"2835",7,"BB STRWBRRY DPPD FRT BARS",166
"2836",7,"BB SUNDAE CUPS",82
"2837",7,"BB SWEET FREEDOM VAN",26
"2838",7,"BB SWT FRDM BAN SPLIT",18
"2839",7,"BB SWT FRDM BTR PECAN",13
"2840",7,"BB SWT FRDM BUNNY TRACKS",23
"2841",7,"BB SWT FRDM VRTY PK BARS",26
"2842",7,"BB TRPL DLGHT SNDWCH",77
"2843",7,"BBELL ASST FLAVOR PINTS",7463
"2844",7,"BBNY CARAMEL KRUNCH BARS",28
"2845",7,"BBNY CHAMP CONE VAN",59
"2846",7,"BBNY FUDGE BARS",11
"2847",7,"BBNY SWT FRDM IC LITES",35
"2848",7,"BBNY SWT FRDM KRNCH LT",34
"2849",7,"BBUNNY PREM PIST ALMOND",7
"2850",7,"BBUNNY SWT FRDM FDG LT",35
"2851",7,"BJ SMORES",86
"2852",7,"BL BUNNY PREM VAN BEAN",31
"2853",7,"BLUE BELL AST SHERBET",672
"2854",7,"BLUE BELL BANANA POPS",177
"2855",7,"BLUE BELL BRTHDAY CK CUPS 12CT",89
"2856",7,"BLUE BELL CCNT FRUIT BARS",135
"2857",7,"BLUE BELL CHOC ECLAIR BAR",41
"2858",7,"BLUE BELL DBL VNLA IC SNDW",134
"2859",7,"BLUE BELL DREAM BAR",163
"2860",7,"BLUE BELL HMADE VAN CUPS 12CT",303
"2861",7,"BLUE BELL KRUNCH BARS",239
"2862",7,"BLUE BELL LIME FRUIT BARS",164
"2863",7,"BLUE BELL MINI CONE",125
"2864",7,"BLUE BELL MINI PARTY CONES",62
"2865",7,"BLUE BELL MOOO BAR",22
"2866",7,"BLUE BELL PEACH FRT BARS",119
"2867",7,"BLUE BELL STRWBRY SHRTCK BR",136
"2868",7,"BLUE BUNNY BIG FUDGE BARS",46
"2869",7,"BLUE BUNNY ORANGE DREAM BAR 2.25OZ",28
"2870",7,"BLUE BUNNY ORIG BOMB POP",156
"2871",7,"BLUE BUNNY PREM VAN",18
"2872",7,"BLUEBELL MOOO BARS",288
"2873",7,"BLUEBELL NS ADDED PT",160
"2874",7,"BLUEBELL SF BULLETS",122
"2875",7,"BLUEBELL SHERBET RAINBOW",233
"2876",7,"BOMB POP HWN PNCH",62
"2877",7,"BOMB POPS WATERMELON",83
"2878",7,"BREYER NAT LT CRMY VANILLA",20
"2879",7,"BREYER NTRL CHRY VANILLA",32
"2880",7,"BREYER NTRL FRCH VAN",72
"2881",7,"BREYER VANILLA ICE CREAM",76
"2882",7,"BREYER WFL CONE W/HRSHY CHOC CHP",45
"2883",7,"BREYERS BLASTS BDAY",29
"2884",7,"BREYERS BLASTS CREAMSICLE",28
"2885",7,"BREYERS CARB SMART CHOC",75
"2886",7,"BREYERS CO B GS THIN MINTS",41
"2887",7,"BREYERS CO BRAND M&MS",21
"2888",7,"BREYERS FAT FREE CRMY VAN",21
"2889",7,"BREYERS LACTOSE FREE VAN",61
"2890",7,"BREYERS NAT ROCKY ROAD",34
"2891",7,"BREYERS NAT STRAWBERRY",34
"2892",7,"BREYERS NSA VANILLA",44
"2893",7,"BREYERS NTRL CHOC",56
"2894",7,"BREYERS SNICKERS IC CRM",55
"2895",7,"BRYER SMRT CARB VAN I/C",49
"2896",7,"BRYERS OREO CHOC CKIE&CRM",36
"2897",7,"BRYRS CRBSMRT ALMD I/C BAR",69
"2898",7,"BRYRS TIRAMISU GELATO",37
"2899",7,"BRYRS TRPL CHOC GELATO",16
"2900",7,"BRYRS VAN CRML GELATO",56
"2901",7,"CADBURY CARAMELLO RF IC BAR",13
"2902",7,"CADBURY CHOC ALMD RF IC BAR",13
"2903",7,"CHRSTMS MLK ICE CRM EGGNG",7
"2904",7,"CIAO BELLA KEY LIME GRHM GEL SQ",18
"2905",7,"CLEMMYS IC CHOC CHIP",3
"2906",7,"CLEMMYS IC CHOCOLATE",12
"2907",7,"CLEMMYS IC COFFEE",9
"2908",7,"CLEMMYS IC TSTD ALMOND",2
"2909",7,"CLEMMYS IC VANILLA BEAN",5
"2910",7,"COOLHAUS IC SNDWCH CHOC",9
"2911",7,"COOLHAUS IC SNDWCH PNTBTR",12
"2912",7,"COOLHAUS ICE CRM 3-BAR CH",5
"2913",7,"COOLHAUS ICE CRM 3-BAR M CH",10
"2914",7,"COOLHAUS ICE CRM BANA FSTR",9
"2915",7,"COOLHAUS ICE CRM BLSMC",5
"2916",7,"COOLHAUS ICE CRM CHOC MLTN",6
"2917",7,"COOLHAUS ICE CRM DRTY MNT",3
"2918",7,"COOLHAUS ICE CRM SLT CRML",1
"2919",7,"COOLHAUS ICE CRM SNDWCH BC",4
"2920",7,"COOLHAUS ICE CRM SNDWCH CS",5
"2921",7,"COOLHAUS ICE CRM SNDWCH DCM",33
"2922",7,"COOLHS ICECRM 3-BAR VMCH",8
"2923",7,"COOLHS ICECRM SNDWH VN BN",17
"2924",7,"DAN OIKO GRK FRZ YGRT CAF LATTE",5
"2925",7,"DAN OIKOS GRK FRZ YGRT CHOC",14
"2926",7,"DAN OIKOS GRK FRZN YGRT KEY LIME",12
"2927",7,"DAN OIKOS GRK FRZN YGRT STRWBRY",20
"2928",7,"DF MAVENS FRZN DSRT",8
"2929",7,"DF MAVENS FRZN DSRT ND",34
"2930",7,"DIANA BANABAS BABIES MLK CHOC",39
"2931",7,"DIANA BANANAS BABIES DRK CHOC",36
"2932",7,"DIANA BANANAS BABIES MLK CHOC W/PNUT",19
"2933",7,"DREYER NSA SC VAN BEAN",11
"2934",7,"DREYER POMEGRANATE BARS",62
"2935",7,"DREYER'S REAL STRWBRRIES",10
"2936",7,"DREYERS ASSORTED FRUIT BAR",97
"2937",7,"DREYERS BUTTER PECAN IC",8
"2938",7,"DREYERS COOKIE DOUGH",20
"2939",7,"DREYERS FRN VANILLA ICRM",12
"2940",7,"DREYERS FRT BAR COCONUT",55
"2941",7,"DREYERS FRUIT BAR STRAW",106
"2942",7,"DREYERS LIGHT BUTTER PECAN",16
"2943",7,"DREYERS LIGHT CHOCOLATE",15
"2944",7,"DREYERS LIGHT MINT",10
"2945",7,"DREYERS LIGHT ROCKY ROAD",15
"2946",7,"DREYERS LIGHT STRAWBERRY",3
"2947",7,"DREYERS LIMITED EDITION",2
"2948",7,"DREYERS LT CARM DELIGHT",22
"2949",7,"DREYERS LT VANILLA",38
"2950",7,"DREYERS MINT CHOC CHIP",19
"2951",7,"DREYERS NEAPOLITAN",7
"2952",7,"DREYERS NSA BUTTER PECAN",24
"2953",7,"DREYERS NSA FDG TRACKS",4
"2954",7,"DREYERS NSA VANILLA",6
"2955",7,"DREYERS ROCKY ROAD ICRM",8
"2956",7,"DREYERS VANILLA ICE CREAM",29
"2957",7,"DREYERS YOG KEY LIME PIE",12
"2958",7,"DREYERS YOGURT FF VAN",3
"2959",7,"DREYRS SC YOG CRML PRALINE",5
"2960",7,"DRUMSTICK NESTLE CRUNCH DPED",87
"2961",7,"DRUMSTICK VANILLA",88
"2962",7,"DRYRD FRUIT BAR NSA VARIETY",110
"2963",7,"DRYRS LOADED BUTTERFINGER",13
"2964",7,"DRYRS LT S/CHRN FDG TRACKS",13
"2965",7,"DRYRS LT S/CHRN LIMITED",2
"2966",7,"DRYRS LT S/CHRN VAN BEAN",22
"2967",7,"DRYRS SC YOG CAPPUCCINO CHP",13
"2968",7,"DRYRS SC YOG CHOC FDG BRWN",7
"2969",7,"F'REAL MILKSHAKE CAKE BATTER",86
"2970",7,"F'REAL MILKSHAKE MINT CHOC CHIP 16Z",1
